분쟁ID,연도,발생지,정부군(교전A),반군/적대측(교전B),분쟁원인,전쟁강도,분쟁유형,지역,사망자_추정치
11342,2012,인도,인도 정부,GNLA,영토,소규모,내전,,27
11342,2014,인도,인도 정부,GNLA,영토,소규모,내전,,26
11344,2011,수단,수단 정부,Republic of South Sudan,영토,소규모,내전,,145
11345,2011,남수단,남수단 정부,"SSDM/A, SSLM/A",정부/권력,소규모,내전,,216
11345,2012,남수단,남수단 정부,SSLM/A,정부/권력,소규모,내전,,137
11345,2013,남수단,남수단 정부,"SPLM/A - IO, SSDM/A - Cobra Faction",정부/권력,소규모,내전,,926
11345,2014,남수단,남수단 정부,SPLM/A - IO,정부/권력,전면전,국제화된 내전,,1667
11345,2015,남수단,남수단 정부,SPLM/A - IO,정부/권력,소규모,국제화된 내전,,493
11345,2016,남수단,남수단 정부,SPLM/A - IO,정부/권력,소규모,내전,,735
11345,2017,남수단,남수단 정부,SPLM/A - IO,정부/권력,소규모,내전,,484
11345,2018,남수단,남수단 정부,SPLM/A - IO,정부/권력,소규모,내전,,526
11345,2019,남수단,남수단 정부,NAS,정부/권력,소규모,내전,,110
11345,2020,남수단,남수단 정부,NAS,정부/권력,소규모,내전,,58
11345,2021,남수단,남수단 정부,"NAS, SPLM/A - IO - Kitgwang",정부/권력,소규모,내전,,188
11346,2011,리비아,리비아 정부,"Forces of Muammar Gaddafi, NTC",정부/권력,전면전,국제화된 내전,,3762
11346,2013,리비아,리비아 정부,ASL,정부/권력,소규모,내전,,31
11346,2014,리비아,리비아 정부,"Forces of the House of Representatives, Zintan Military Council",정부/권력,소규모,내전,,274
11346,2015,리비아,리비아 정부,Forces of the House of Representatives,정부/권력,소규모,내전,,156
11346,2017,리비아,리비아 정부,"Forces of Khalifa al-Ghawil, Forces of the House of Representatives, PFLL",정부/권력,소규모,내전,,308
11346,2019,리비아,리비아 정부,Forces of the House of Representatives,정부/권력,전면전,국제화된 내전,,1588
11346,2020,리비아,리비아 정부,Forces of the House of Representatives,정부/권력,소규모,국제화된 내전,,668
11347,2009,말리,말리 정부,AQIM,정부/권력,소규모,내전,,87
11347,2012,말리,말리 정부,"Ansar Dine, Military faction (Red Berets)",정부/권력,소규모,내전,,87
11347,2013,말리,말리 정부,"Ansar Dine, AQIM, MUJAO, Signed-in-Blood Battalion",정부/권력,소규모,국제화된 내전,,836
11347,2014,말리,말리 정부,"al-Murabitun, AQIM",정부/권력,소규모,국제화된 내전,,95
11347,2015,말리,말리 정부,"Ansar Dine, AQIM",정부/권력,소규모,국제화된 내전,,74
11347,2016,말리,말리 정부,"Ansar Dine, AQIM",정부/권력,소규모,국제화된 내전,,97
11347,2017,말리,말리 정부,"AQIM, JNIM",정부/권력,소규모,국제화된 내전,,312
11347,2018,말리,말리 정부,JNIM,정부/권력,소규모,국제화된 내전,,402
11347,2019,말리,말리 정부,JNIM,정부/권력,소규모,국제화된 내전,,422
11347,2020,말리,말리 정부,JNIM,정부/권력,소규모,국제화된 내전,,520
11347,2021,말리,말리 정부,JNIM,정부/권력,소규모,국제화된 내전,,616
11347,2022,말리,말리 정부,JNIM,정부/권력,전면전,국제화된 내전,,1117
11347,2023,말리,말리 정부,JNIM,정부/권력,소규모,국제화된 내전,,886
11347,2024,말리,말리 정부,JNIM,정부/권력,소규모,국제화된 내전,,760
11348,2012,"남수단, 수단",남수단 정부,수단 정부,영토,소규모,국가간,,367
11349,2008,중국,중국 정부,ETIM,영토,소규모,내전,,36
11350,2005,방글라데시,방글라데시 정부,"PBCP, PBCP-J",정부/권력,소규모,내전,,62
11350,2006,방글라데시,방글라데시 정부,PBCP-J,정부/권력,소규모,내전,,57
11447,1991,에티오피아,에티오피아 정부,IGLF,영토,소규모,내전,,100
11475,1991,미얀마,미얀마 정부,NSCN-K,영토,소규모,내전,,150
11475,1995,미얀마,미얀마 정부,NSCN-K,영토,소규모,내전,,33
11475,2000,미얀마,미얀마 정부,NSCN-K,영토,소규모,내전,,43
11475,2001,미얀마,미얀마 정부,NSCN-K,영토,소규모,내전,,62
11475,2005,미얀마,미얀마 정부,NSCN-K,영토,소규모,내전,,38
11475,2006,미얀마,미얀마 정부,NSCN-K,영토,소규모,내전,,92
11475,2007,미얀마,미얀마 정부,NSCN-K,영토,소규모,내전,,215
11487,2013,말레이시아,말레이시아 정부,Sultanate of Sulu,영토,소규모,내전,,70
11639,2024,"아프가니스탄, 파키스탄",아프가니스탄 정부,파키스탄 정부,영토,소규모,국가간,,61
13042,2012,시리아,시리아 정부,PYD,영토,소규모,내전,,46
13042,2013,시리아,시리아 정부,PYD,영토,소규모,내전,,78
13042,2014,시리아,시리아 정부,PYD,영토,소규모,내전,,52
13042,2015,시리아,시리아 정부,PYD,영토,소규모,내전,,84
13219,2014,우크라이나,우크라이나 정부,Maidan,정부/권력,소규모,내전,,88
13243,2022,"러시아, 우크라이나",러시아 정부,우크라이나 정부,복합,전면전,국가간,,91502
13243,2023,"러시아, 우크라이나",러시아 정부,우크라이나 정부,복합,전면전,국가간,,75180
13243,2024,"러시아, 우크라이나",러시아 정부,우크라이나 정부,복합,전면전,국가간,,75686
13246,2014,우크라이나,우크라이나 정부,DPR,영토,전면전,국제화된 내전,,2276
13247,2014,우크라이나,우크라이나 정부,LPR,영토,전면전,국제화된 내전,,1072
13306,2014,우크라이나,우크라이나 정부,United Armed Forces of Novorossiya,영토,전면전,국제화된 내전,,1459
13306,2015,우크라이나,우크라이나 정부,"DPR, LPR, United Armed Forces of Novorossiya",영토,전면전,국제화된 내전,,1890
13306,2016,우크라이나,우크라이나 정부,"DPR, LPR",영토,소규모,국제화된 내전,,697
13306,2017,우크라이나,우크라이나 정부,"DPR, LPR",영토,소규모,국제화된 내전,,447
13306,2018,우크라이나,우크라이나 정부,"DPR, LPR",영토,소규모,국제화된 내전,,243
13306,2019,우크라이나,우크라이나 정부,"DPR, LPR",영토,소규모,국제화된 내전,,311
13306,2020,우크라이나,우크라이나 정부,"DPR, LPR",영토,소규모,국제화된 내전,,196
13306,2021,우크라이나,우크라이나 정부,"DPR, LPR",영토,소규모,국제화된 내전,,208
13306,2022,우크라이나,우크라이나 정부,DPR,영토,소규모,국제화된 내전,,43
13324,2021,"키르기스스탄, 타지키스탄",키르기스스탄 정부,타지키스탄 정부,영토,소규모,국가간,,56
13324,2022,"키르기스스탄, 타지키스탄",키르기스스탄 정부,타지키스탄 정부,영토,소규모,국가간,,150
13588,2015,러시아,러시아 정부,IS,영토,소규모,내전,,55
13588,2016,러시아,러시아 정부,IS,영토,소규모,내전,,69
13588,2017,러시아,러시아 정부,IS,영토,소규모,내전,,53
13588,2018,러시아,러시아 정부,IS,영토,소규모,내전,,30
13588,2019,러시아,러시아 정부,IS,영토,소규모,내전,,26
13588,2020,러시아,러시아 정부,IS,영토,소규모,내전,,30
13588,2024,러시아,러시아 정부,IS,영토,소규모,내전,,53
13604,2013,시리아,시리아 정부,IS,영토,전면전,내전,,1422
13604,2014,시리아,시리아 정부,IS,영토,전면전,내전,,7336
13604,2015,시리아,시리아 정부,IS,영토,전면전,국제화된 내전,,10382
13604,2016,시리아,시리아 정부,IS,영토,전면전,국제화된 내전,,10903
13604,2017,시리아,시리아 정부,IS,영토,전면전,국제화된 내전,,11920
13604,2018,시리아,시리아 정부,IS,영토,전면전,국제화된 내전,,4347
13604,2019,시리아,시리아 정부,IS,영토,소규모,국제화된 내전,,523
13604,2020,시리아,시리아 정부,IS,영토,전면전,국제화된 내전,,1076
13604,2021,시리아,시리아 정부,IS,영토,소규모,국제화된 내전,,680
13604,2022,시리아,시리아 정부,IS,영토,소규모,국제화된 내전,,348
13604,2023,시리아,시리아 정부,IS,영토,소규모,국제화된 내전,,459
13604,2024,시리아,시리아 정부,IS,영토,소규모,국제화된 내전,,629
13611,2015,말리,말리 정부,FLM,영토,소규모,내전,,44
13637,2015,아프가니스탄,아프가니스탄 정부,IS,영토,소규모,국제화된 내전,,679
13637,2016,아프가니스탄,아프가니스탄 정부,IS,영토,전면전,국제화된 내전,,2141
13637,2017,아프가니스탄,아프가니스탄 정부,IS,영토,전면전,국제화된 내전,,2795
13637,2018,아프가니스탄,아프가니스탄 정부,IS,영토,전면전,국제화된 내전,,2842
13637,2019,아프가니스탄,아프가니스탄 정부,IS,영토,전면전,국제화된 내전,,1075
13637,2020,아프가니스탄,아프가니스탄 정부,IS,영토,소규모,국제화된 내전,,316
13637,2021,아프가니스탄,아프가니스탄 정부,IS,영토,소규모,국제화된 내전,,264
13637,2022,아프가니스탄,아프가니스탄 정부,IS,영토,소규모,내전,,253
13637,2023,아프가니스탄,아프가니스탄 정부,IS,영토,소규모,내전,,149
13637,2024,아프가니스탄,아프가니스탄 정부,IS,영토,소규모,내전,,105
13638,2015,카메룬,카메룬 정부,IS,영토,소규모,국제화된 내전,,283
13638,2016,카메룬,카메룬 정부,IS,영토,소규모,내전,,189
13638,2019,카메룬,카메룬 정부,IS,영토,소규모,국제화된 내전,,135
13638,2021,카메룬,카메룬 정부,IS,영토,소규모,국제화된 내전,,62
13638,2023,카메룬,카메룬 정부,IS,영토,소규모,내전,,53
13639,2015,니제르,니제르 정부,IS,영토,소규모,국제화된 내전,,171
13639,2016,니제르,니제르 정부,IS,영토,소규모,국제화된 내전,,274
13639,2017,니제르,니제르 정부,IS,영토,소규모,국제화된 내전,,229
13639,2018,니제르,니제르 정부,IS,영토,소규모,국제화된 내전,,74
