분쟁ID,연도,발생지,정부군(교전A),반군/적대측(교전B),분쟁원인,전쟁강도,분쟁유형,지역,사망자_추정치,사망자_최소,사망자_최대,확전이력,종료여부,사망자규모,분쟁지역명,분쟁시작일,분쟁종료일
11342,2012,인도,인도 정부,GNLA,영토,소규모,내전,아시아,27.0,23.0,27.0,없음,종료,소규모,Garoland,1997-05-29,2012-12-21
11342,2014,인도,인도 정부,GNLA,영토,소규모,내전,아시아,26.0,23.0,32.0,없음,종료,소규모,Garoland,1997-05-29,2014-11-27
11343,1967,"이집트, 이스라엘",이집트 정부,Government of Israel,영토,전면전,국제화내전,중동/북아프리카,0.0,0.0,0.0,있음,종료,미확인,Suez/Sinai,1967-06-05,1967-06-10
11343,1969,"이집트, 이스라엘",이집트 정부,Government of Israel,영토,소규모,국제화내전,중동/북아프리카,0.0,0.0,0.0,있음,진행중,미확인,Suez/Sinai,1967-06-05,
11343,1970,"이집트, 이스라엘",이집트 정부,Government of Israel,영토,소규모,국제화내전,중동/북아프리카,0.0,0.0,0.0,있음,종료,미확인,Suez/Sinai,1967-06-05,1970-08-07
11343,1973,"이집트, 이스라엘",이집트 정부,Government of Israel,영토,전면전,국제화내전,중동/북아프리카,0.0,0.0,0.0,있음,종료,미확인,Suez/Sinai,1967-06-05,1973-10-24
11344,2011,수단,수단 정부,Republic of South Sudan,영토,소규모,내전,아프리카,145.0,145.0,145.0,없음,종료,중규모,Abyei,2011-05-01,2011-06-15
11345,2011,남수단,남수단 정부,"SSDM/A, SSLM/A",정부/권력,소규모,내전,아프리카,216.0,216.0,326.0,없음,진행중,중규모,,2011-08-20,
11345,2012,남수단,남수단 정부,SSLM/A,정부/권력,소규모,내전,아프리카,137.0,137.0,137.0,없음,진행중,중규모,,2011-08-20,
11345,2013,남수단,남수단 정부,"SPLM/A - IO, SSDM/A - Cobra Faction",정부/권력,소규모,내전,아프리카,926.0,926.0,2318.0,있음,진행중,중규모,,2011-08-20,
11345,2014,남수단,남수단 정부,SPLM/A - IO,정부/권력,전면전,비국가분쟁,아프리카,1667.0,719.0,2993.0,있음,진행중,대규모,,2011-08-20,
11345,2015,남수단,남수단 정부,SPLM/A - IO,정부/권력,소규모,비국가분쟁,아프리카,493.0,492.0,522.0,있음,진행중,중규모,,2011-08-20,
11345,2016,남수단,남수단 정부,SPLM/A - IO,정부/권력,소규모,내전,아프리카,735.0,734.0,1155.0,있음,진행중,중규모,,2011-08-20,
11345,2017,남수단,남수단 정부,SPLM/A - IO,정부/권력,소규모,내전,아프리카,484.0,478.0,684.0,있음,진행중,중규모,,2011-08-20,
11345,2018,남수단,남수단 정부,SPLM/A - IO,정부/권력,소규모,내전,아프리카,526.0,497.0,727.0,있음,진행중,중규모,,2011-08-20,
11345,2019,남수단,남수단 정부,NAS,정부/권력,소규모,내전,아프리카,110.0,102.0,188.0,있음,진행중,중규모,,2011-08-20,
11345,2020,남수단,남수단 정부,NAS,정부/권력,소규모,내전,아프리카,58.0,49.0,135.0,있음,진행중,소규모,,2011-08-20,
11345,2021,남수단,남수단 정부,"NAS, SPLM/A - IO - Kitgwang",정부/권력,소규모,내전,아프리카,188.0,188.0,209.0,있음,종료,중규모,,2011-08-20,2021-12-27
11346,2011,리비아,리비아 정부,"Forces of Muammar Gaddafi, NTC",정부/권력,전면전,비국가분쟁,아프리카,3762.0,3722.0,6285.0,있음,종료,대규모,,2011-02-28,2011-11-23
11346,2013,리비아,리비아 정부,ASL,정부/권력,소규모,내전,아프리카,31.0,17.0,61.0,있음,진행중,소규모,,2011-02-28,
11346,2014,리비아,리비아 정부,"Forces of the House of Representatives, Zintan Military Council",정부/권력,소규모,내전,아프리카,274.0,274.0,274.0,있음,진행중,중규모,,2011-02-28,
11346,2015,리비아,리비아 정부,Forces of the House of Representatives,정부/권력,소규모,내전,아프리카,156.0,156.0,190.0,있음,종료,중규모,,2011-02-28,2015-04-19
11346,2017,리비아,리비아 정부,"Forces of Khalifa al-Ghawil, Forces of the House of Representatives, PFLL",정부/권력,소규모,내전,아프리카,308.0,308.0,337.0,있음,종료,중규모,,2011-02-28,2017-11-12
11346,2019,리비아,리비아 정부,Forces of the House of Representatives,정부/권력,전면전,비국가분쟁,아프리카,1588.0,1381.0,1664.0,있음,진행중,대규모,,2011-02-28,
11346,2020,리비아,리비아 정부,Forces of the House of Representatives,정부/권력,소규모,비국가분쟁,아프리카,668.0,564.0,784.0,있음,종료,중규모,,2011-02-28,2020-10-31
11347,2009,말리,말리 정부,AQIM,정부/권력,소규모,내전,아프리카,87.0,54.0,93.0,없음,종료,소규모,,2009-06-10,2009-07-16
11347,2012,말리,말리 정부,"Ansar Dine, Military faction (Red Berets)",정부/권력,소규모,내전,아프리카,87.0,83.0,270.0,없음,진행중,소규모,,2009-06-10,
11347,2013,말리,말리 정부,"Ansar Dine, AQIM, MUJAO, Signed-in-Blood Battalion",정부/권력,소규모,비국가분쟁,아프리카,836.0,836.0,1004.0,있음,진행중,중규모,,2009-06-10,
11347,2014,말리,말리 정부,"al-Murabitun, AQIM",정부/권력,소규모,비국가분쟁,아프리카,95.0,95.0,129.0,있음,진행중,소규모,,2009-06-10,
11347,2015,말리,말리 정부,"Ansar Dine, AQIM",정부/권력,소규모,비국가분쟁,아프리카,74.0,72.0,109.0,있음,진행중,소규모,,2009-06-10,
11347,2016,말리,말리 정부,"Ansar Dine, AQIM",정부/권력,소규모,비국가분쟁,아프리카,97.0,97.0,112.0,있음,진행중,소규모,,2009-06-10,
11347,2017,말리,말리 정부,"AQIM, JNIM",정부/권력,소규모,비국가분쟁,아프리카,312.0,303.0,414.0,있음,진행중,중규모,,2009-06-10,
11347,2018,말리,말리 정부,JNIM,정부/권력,소규모,비국가분쟁,아프리카,402.0,375.0,435.0,있음,진행중,중규모,,2009-06-10,
11347,2019,말리,말리 정부,JNIM,정부/권력,소규모,비국가분쟁,아프리카,422.0,421.0,566.0,있음,진행중,중규모,,2009-06-10,
11347,2020,말리,말리 정부,JNIM,정부/권력,소규모,비국가분쟁,아프리카,520.0,498.0,650.0,있음,진행중,중규모,,2009-06-10,
11347,2021,말리,말리 정부,JNIM,정부/권력,소규모,비국가분쟁,아프리카,616.0,578.0,660.0,있음,진행중,중규모,,2009-06-10,
11347,2022,말리,말리 정부,JNIM,정부/권력,전면전,비국가분쟁,아프리카,1117.0,1099.0,1246.0,있음,진행중,대규모,,2009-06-10,
11347,2023,말리,말리 정부,JNIM,정부/권력,소규모,비국가분쟁,아프리카,886.0,873.0,1143.0,있음,진행중,중규모,,2009-06-10,
11347,2024,말리,말리 정부,JNIM,정부/권력,소규모,비국가분쟁,아프리카,760.0,753.0,936.0,있음,진행중,중규모,,2009-06-10,
11348,2012,"남수단, 수단",남수단 정부,Government of Sudan,영토,소규모,국제화내전,아프리카,367.0,367.0,1099.0,없음,종료,중규모,Common border,2012-03-27,2012-12-26
11349,2008,중국,중국 정부,ETIM,영토,소규모,내전,아시아,36.0,36.0,39.0,없음,종료,소규모,"East Turkestan
",1990-04-05,2008-08-29
